Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1986,1986,tonnes,221400,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1987,1987,tonnes,250000,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1988,1988,tonnes,169700,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1989,1989,tonnes,324500,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1990,1990,tonnes,250200,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1991,1991,tonnes,257800,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1992,1992,tonnes,281900,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1993,1993,tonnes,280035,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1994,1994,tonnes,238200,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1995,1995,tonnes,158900,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1996,1996,tonnes,242300,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1997,1997,tonnes,388851,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1998,1998,tonnes,220439,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",1999,1999,tonnes,279100,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",2000,2000,tonnes,225217,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",2001,2001,tonnes,254600,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",2002,2002,tonnes,279396,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",2003,2003,tonnes,214448,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",2004,2004,tonnes,86622,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",2005,2005,tonnes,217869,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",2006,2006,tonnes,312702,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",2007,2007,tonnes,187656,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",2008,2008,tonnes,180103,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",2009,2009,tonnes,270686,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",2010,2010,tonnes,222518,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",2011,2011,tonnes,208800,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",2012,2012,tonnes,211700,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",2013,2013,tonnes,143081,,Official data
QC,Crops,203,Spain,5510,Production,221,"Almonds, with shell",2014,2014,tonnes,195704,,Official data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",1985,1985,hg/ha,4985,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",1986,1986,hg/ha,4969,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",1987,1987,hg/ha,4258,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",1988,1988,hg/ha,4337,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",1989,1989,hg/ha,5051,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",1990,1990,hg/ha,5480,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",1991,1991,hg/ha,4500,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",1992,1992,hg/ha,4706,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",1993,1993,hg/ha,4097,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",1994,1994,hg/ha,4535,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",1995,1995,hg/ha,2428,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",1996,1996,hg/ha,2500,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",1997,1997,hg/ha,3209,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",1998,1998,hg/ha,3222,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",1999,1999,hg/ha,3247,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",2000,2000,hg/ha,3284,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",2001,2001,hg/ha,3956,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",2002,2002,hg/ha,4157,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",2003,2003,hg/ha,3646,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",2004,2004,hg/ha,3893,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",2005,2005,hg/ha,4466,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",2006,2006,hg/ha,5238,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",2007,2007,hg/ha,6218,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",2008,2008,hg/ha,8803,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",2009,2009,hg/ha,10417,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",2010,2010,hg/ha,6354,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",2011,2011,hg/ha,6503,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",2012,2012,hg/ha,5581,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",2013,2013,hg/ha,5561,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,711,"Anise, badian, fennel, coriander",2014,2014,hg/ha,6068,Fc,Calculated data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1961,1961,tonnes,900,F,FAO estimate
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1962,1962,tonnes,1300,F,FAO estimate
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1963,1963,tonnes,1600,F,FAO estimate
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1964,1964,tonnes,1000,F,FAO estimate
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1965,1965,tonnes,1000,F,FAO estimate
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1966,1966,tonnes,1200,F,FAO estimate
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1967,1967,tonnes,1500,F,FAO estimate
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1968,1968,tonnes,2100,F,FAO estimate
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1969,1969,tonnes,1900,F,FAO estimate
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1970,1970,tonnes,1600,F,FAO estimate
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1971,1971,tonnes,1400,F,FAO estimate
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1972,1972,tonnes,1026,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1973,1973,tonnes,1300,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1974,1974,tonnes,2452,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1975,1975,tonnes,2400,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1976,1976,tonnes,2100,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1977,1977,tonnes,2000,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1978,1978,tonnes,1830,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1979,1979,tonnes,1398,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1980,1980,tonnes,1698,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1981,1981,tonnes,1248,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1982,1982,tonnes,2247,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1983,1983,tonnes,2394,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1984,1984,tonnes,3236,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1985,1985,tonnes,1645,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1986,1986,tonnes,1292,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1987,1987,tonnes,1107,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1988,1988,tonnes,1518,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1989,1989,tonnes,1768,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1990,1990,tonnes,1661,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1991,1991,tonnes,1080,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1992,1992,tonnes,1055,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1993,1993,tonnes,1275,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1994,1994,tonnes,980,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1995,1995,tonnes,378,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1996,1996,tonnes,400,F,FAO estimate
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1997,1997,tonnes,544,Im,FAO data based on imputation methodology
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1998,1998,tonnes,401,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",1999,1999,tonnes,400,F,FAO estimate
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",2000,2000,tonnes,572,Im,FAO data based on imputation methodology
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",2001,2001,tonnes,609,Im,FAO data based on imputation methodology
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",2002,2002,tonnes,641,Im,FAO data based on imputation methodology
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",2003,2003,tonnes,672,Im,FAO data based on imputation methodology
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",2004,2004,tonnes,601,Im,FAO data based on imputation methodology
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",2005,2005,tonnes,500,F,FAO estimate
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",2006,2006,tonnes,882,Im,FAO data based on imputation methodology
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",2007,2007,tonnes,960,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",2008,2008,tonnes,2000,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",2009,2009,tonnes,2500,F,FAO estimate
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",2010,2010,tonnes,3353,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",2011,2011,tonnes,5266,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",2012,2012,tonnes,2540,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",2013,2013,tonnes,1478,,Official data
QC,Crops,203,Spain,5510,Production,711,"Anise, badian, fennel, coriander",2014,2014,tonnes,1351,Im,FAO data based on imputation methodology
QC,Crops,203,Spain,5419,Yield,515,Apples,1961,1961,hg/ha,229464,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1962,1962,hg/ha,157759,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1963,1963,hg/ha,265580,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1964,1964,hg/ha,144865,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1965,1965,hg/ha,169242,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1966,1966,hg/ha,150989,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1967,1967,hg/ha,132273,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1968,1968,hg/ha,158974,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1969,1969,hg/ha,143457,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1970,1970,hg/ha,111498,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1971,1971,hg/ha,133367,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1972,1972,hg/ha,140870,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1973,1973,hg/ha,166410,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1974,1974,hg/ha,158262,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1975,1975,hg/ha,160760,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1976,1976,hg/ha,149009,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1977,1977,hg/ha,116613,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1978,1978,hg/ha,172347,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1979,1979,hg/ha,192334,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1980,1980,hg/ha,156487,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1981,1981,hg/ha,181022,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1982,1982,hg/ha,151908,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1983,1983,hg/ha,185751,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1984,1984,hg/ha,180721,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1985,1985,hg/ha,156658,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1986,1986,hg/ha,134220,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1987,1987,hg/ha,158994,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1988,1988,hg/ha,141765,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1989,1989,hg/ha,133005,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1990,1990,hg/ha,107800,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1991,1991,hg/ha,87003,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1992,1992,hg/ha,191169,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1993,1993,hg/ha,165829,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1994,1994,hg/ha,146861,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1995,1995,hg/ha,158447,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1996,1996,hg/ha,182065,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1997,1997,hg/ha,198327,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1998,1998,hg/ha,149290,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,1999,1999,hg/ha,201303,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,2000,2000,hg/ha,166895,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,2001,2001,hg/ha,216800,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,2002,2002,hg/ha,160820,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,2003,2003,hg/ha,191460,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,2004,2004,hg/ha,163760,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,2005,2005,hg/ha,198648,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,2006,2006,hg/ha,171859,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,2007,2007,hg/ha,195431,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,2008,2008,hg/ha,198347,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,2009,2009,hg/ha,184007,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,2010,2010,hg/ha,203042,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,2011,2011,hg/ha,212735,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,2012,2012,hg/ha,156480,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,2013,2013,hg/ha,177305,Fc,Calculated data
QC,Crops,203,Spain,5419,Yield,515,Apples,2014,2014,hg/ha,202051,Fc,Calculated data
QC,Crops,203,Spain,5510,Production,515,Apples,1961,1961,tonnes,385500,,Official data
QC,Crops,203,Spain,5510,Production,515,Apples,1962,1962,tonnes,274500,,Official data
QC,Crops,203,Spain,5510,Production,515,Apples,1963,1963,tonnes,480700,,Official data
QC,Crops,203,Spain,5510,Production,515,Apples,1964,1964,tonnes,321600,,Official data
QC,Crops,203,Spain,5510,Production,515,Apples,1965,1965,tonnes,446800,,Official data
QC,Crops,203,Spain,5510,Production,515,Apples,1966,1966,tonnes,412200,,Official data
